"expiry_dt","strike_pr","ce_volume","pe_volume","total_volume","total_open_interest"
"2020-01-09","11750.00","0","0","0","0"
"2020-01-09","11800.00","0","0","0","0"
"2020-01-09","11850.00","0","0","0","0"
"2020-01-09","11900.00","0","0","0","0"
"2020-01-09","11950.00","0","0","0","0"
"2020-01-09","12000.00","0","0","0","0"
"2020-01-09","12050.00","0","0","0","0"
"2020-01-09","12100.00","0","0","0","0"
"2020-01-09","12150.00","0","0","0","0"
"2020-01-09","12200.00","0","0","0","0"
"2020-01-09","12250.00","0","0","0","0"
"2020-01-09","12300.00","0","0","0","0"
"2020-01-09","12350.00","0","0","0","0"
"2020-01-09","12400.00","0","0","0","0"
"2020-01-09","12450.00","0","0","0","0"
"2020-01-09","12500.00","0","0","0","0"
"2020-01-09","12550.00","0","0","0","0"
"2020-01-09","12600.00","0","0","0","0"
"2020-01-09","12650.00","0","0","0","0"
"2020-01-09","12700.00","0","0","0","0"
"2020-01-09","12750.00","0","0","0","0"
"2020-01-09","12800.00","0","0","0","0"
"2020-01-09","12850.00","0","0","0","0"
"2020-01-09","12900.00","0","0","0","0"
"2020-01-09","12950.00","0","0","0","0"
"2020-01-09","13000.00","0","0","0","0"
"2020-01-09","13050.00","0","0","0","0"
"2020-01-09","13100.00","0","0","0","0"
"2020-01-09","13150.00","0","0","0","0"
"2020-01-09","13200.00","0","0","0","0"
"2020-01-09","13250.00","0","0","0","0"
"2020-01-09","13300.00","0","0","0","0"
"2020-01-09","13350.00","0","0","0","0"
"2020-01-09","13400.00","0","0","0","0"
"2020-01-09","13450.00","0","0","0","0"
"2020-01-09","13500.00","0","0","0","0"
"2020-01-09","14600.00","0","0","0","0"
"2020-01-09","14700.00","0","0","0","0"
"2020-01-09","14800.00","0","0","0","0"
"2020-01-09","14900.00","0","0","0","0"
"2020-01-09","15000.00","0","0","0","0"
"2020-01-09","15100.00","0","0","0","0"
"2020-01-09","15200.00","0","0","0","0"
"2020-01-09","15300.00","0","0","0","0"
"2020-01-09","15400.00","0","0","0","0"
"2020-01-09","15500.00","0","0","0","0"
"2020-01-09","15600.00","0","0","0","0"
"2020-01-09","15700.00","0","0","0","0"
"2020-01-09","15800.00","0","0","0","0"
"2020-01-09","15900.00","0","0","0","0"
"2020-01-09","16000.00","0","0","0","0"
"2020-01-09","16100.00","0","0","0","0"
"2020-01-09","16200.00","0","0","0","0"
"2020-01-09","27700.00","0","0","0","0"
"2020-01-09","27800.00","0","0","0","0"
"2020-01-09","27900.00","0","0","0","0"
"2020-01-09","28000.00","0","0","0","0"
"2020-01-09","28100.00","0","0","0","0"
"2020-01-09","28200.00","0","0","0","0"
"2020-01-09","28300.00","0","0","0","0"
"2020-01-09","28400.00","0","0","0","0"
"2020-01-09","28500.00","0","0","0","0"
"2020-01-09","28600.00","0","0","0","0"
"2020-01-09","28700.00","0","0","0","0"
"2020-01-09","28800.00","0","0","0","0"
"2020-01-09","28900.00","0","0","0","0"
"2020-01-09","29000.00","0","0","0","0"
"2020-01-09","29100.00","0","0","0","0"
"2020-01-09","29200.00","0","0","0","0"
"2020-01-09","29300.00","0","0","0","0"
"2020-01-09","29400.00","0","0","0","0"
"2020-01-09","29500.00","0","0","0","0"
"2020-01-09","29600.00","0","0","0","0"
"2020-01-09","29700.00","0","0","0","0"
"2020-01-09","29800.00","0","0","0","0"
"2020-01-09","29900.00","0","0","0","0"
"2020-01-09","30000.00","0","0","0","0"
"2020-01-09","30100.00","0","0","0","0"
"2020-01-09","30200.00","0","0","0","0"
"2020-01-09","30300.00","0","0","0","0"
"2020-01-09","30400.00","0","0","0","0"
"2020-01-09","30500.00","0","0","0","0"
"2020-01-09","30600.00","0","0","0","0"
"2020-01-09","30700.00","0","0","0","0"
"2020-01-09","30800.00","0","0","0","0"
"2020-01-09","30900.00","0","0","0","0"
"2020-01-09","31000.00","0","0","0","0"
"2020-01-09","31100.00","0","0","0","0"
"2020-01-09","31200.00","0","0","0","0"
"2020-01-09","31300.00","0","0","0","0"
"2020-01-09","31400.00","0","0","0","0"
"2020-01-09","31500.00","0","0","0","0"
"2020-01-09","31600.00","0","0","0","0"
"2020-01-09","31700.00","0","0","0","0"
"2020-01-09","31800.00","0","0","0","0"
"2020-01-09","31900.00","0","0","0","0"
"2020-01-09","32000.00","0","0","0","0"
"2020-01-09","32100.00","0","0","0","0"
"2020-01-09","32200.00","0","0","0","0"
"2020-01-09","32300.00","0","0","0","0"
"2020-01-09","32400.00","0","0","0","0"
"2020-01-09","32500.00","0","0","0","0"
"2020-01-09","32600.00","0","0","0","0"
"2020-01-09","32700.00","0","0","0","0"
